tweet,label
"अलि अस्ती प्रचण्डले भन्थे, माओवादीमा अध्यक्षको लागि सक्षम ब्याक्ती नहुदा म दोहोरीरहनु परेको छ भनेर, अनि कार्यकर्ताले चाहिँ तालिले स्वागत गरेका थिए, त्यस्तै कांग्रेसमा पनि प्रमको लागि सक्षम ब्यक्ति नभएर देउवा भैरहनु परेको हो! https://t.co/gi2T8U3ci8",0
के याे देशमा बिदेशीकाे बुई चडेर नेपाल माथी चढाई गर्ने प्रचण्ड पथ कमाउनिष्ट र तेसकाे प्रवर्द्धक देउवा काँग्रेसकाे आैचित्यता समाप्त भएकाे हाे ??? निर्वाचनमा जनउभार हेर्दा तेस्तै देखिन्छ ।,0
गठबन्धनकी उम्मेदवारकाे घरमा पालेकाे कुकुरले टाेकेपछि पुन्य गाैतम एमाले प्रवेश !,0
@Sirjana_Singh नेपाल को चुच्चे नक्सा राख्नोस पहिला अनि कुसल नेतृत्व को कुरा गर्नुहोस,0
"Zee Hindustan से बोले Punjab के Deputy Chief Minister OP Soni- 'केजरीवाल कर रहे हैं जनता को गुमराह, नहीं गलेगी दाल' 

#PunjabElections2022 #Congress @OPSoni_inc @INCPunjab https://t.co/E6mS9oQnIK",0
"@ArticleOf इतिहासकै नालायक प्रधानमन्त्री भनेकै शेर बहादुर देउवा हुन, न बोल्न आउँछ , न कहाँ  कसरी प्रस्तुत हुने जानकारी छ न बोली नै बुझिन्छ, यस्ता बाट शाशित हुनु दुर्भाग्य ।",0
"@kedarsubedi परिवर्तनका सम्बाहक युवालाई रोक्न अनेकौँ प्रपंच रच्दै आक्षेप लगाउनेहरू जुर्मुराउँदै छन्। दशकौं देखि देशको रज-गजमा हालिमुहालि गर्ने बरिष्ठको पगडि भिरेकाहरु परिवर्तन देखि अत्तालिएका छन्। ए अहंकारीहरु! देश डुबाएको जिम्मा लेउ पहिले, भविष्य डुबाउन दिईंदैन। #जागौं_नेपाली",0
"मशहूर मुनव्वर राणा ने फिर दोहराया अपना बयान, कहा- 'दोबारा CM बने योगी तो छोड़ देंगे यूपी' 
#UttarPradeshElections2022 #UPElection #BJP #YogiAdityanath #MunawwarRana  
https://t.co/tNoL9eaOBE",0
"@SanjayAzadSln @ArvindKejriwal - #KumarVishwas हास्य कवि हैं seriously मत लो

#Punjab की जनता, एक बात याद रखो

@BhagwantMann हास्य कलाकार हैं और शराबी भी - नषामुक्ति की बात ""seriously"" मत ले लेना!

#PunjabElection2022 
#PunjabElections2022 
#KejriwalWithKhalistan 
#Kejriwal_With_Khalistan",0
"@NirmalPrasai5 देउवाले गत चुनाव मै राजिनामा दिनु पर्ने, अहिले कांग्रेसिहरु तेसैको नतिजा भोग्दैछन्। बालेनको लोकप्रियता भनेको दलहरु प्रतिको बित्रिष्णा हो।",0
"@CHARANJITCHANNI बुढ़ापा पेंशन के साथ जो आपने बुजुर्ग लोगो को 1000 देने का ऐलान किया था उसका क्या बना 
@RahulGandhi तुन्हारा cm तो एलानजीवी निकला सच में 
#PunjabElections2022",0
